duration,pkt_count,byte_count,src2dst_pkts,dst2src_pkts,mean_pkt_size,tcp_syn,tcp_rst,label
10.73,3392,5482772,1156,118,678.31,0,4,normal
247.61,2324,9416626,1038,2140,1021.29,1,5,normal
80.37,2368,9453369,205,2081,1107.98,0,1,normal
87.83,4348,5948261,1899,1981,1326.49,1,3,normal
258.26,1429,151170,2018,1499,553.83,1,2,normal
59.3,1180,5498243,416,1165,994.35,1,3,normal
221.82,3004,3429196,1644,1145,1266.29,0,5,normal
227.55,202,3655343,1397,876,986.36,1,5,normal
54.11,4397,9036800,252,412,1037.46,1,2,normal
296.17,1655,817669,967,1513,1329.07,0,0,normal
180.81,1684,7710612,437,250,894.88,0,3,normal
282.23,393,1709252,1216,888,1049.26,0,2,normal
164.53,2603,458919,2113,670,751.91,1,5,normal
254.26,4490,5506743,2469,646,758.85,0,1,normal
19.16,3100,7342329,2375,1255,814.02,1,4,normal
112.66,4215,9135134,832,1404,1337.48,1,4,normal
84.86,4101,2512863,170,2213,1176.35,0,5,normal
194.62,3294,1381553,1597,2291,1118.02,0,0,normal
133.51,4403,2487796,514,170,910.29,0,5,normal
47.7,403,7549636,583,2460,1325.12,1,1,normal
235.52,3736,4953390,1035,1527,1256.09,1,2,normal
106.35,2588,1218738,1892,1358,1350.87,0,4,normal
183.11,3971,9290898,736,82,1365.44,0,3,normal
94.82,3439,3638777,2232,2189,1253.99,0,0,normal
69.97,3042,2501429,1079,734,1137.74,1,0,normal
196.78,1386,9464233,322,1937,1085.86,1,1,normal
24.68,1376,7432966,1077,1087,1046.05,1,5,normal
97.61,1299,2379735,2387,784,831.65,1,2,normal
54.71,4436,5312905,1310,962,667.14,1,2,normal
289.89,658,4982990,2275,44,1300.72,0,4,normal
284.63,1741,1980430,789,828,1156.42,1,2,normal
139.42,4186,6438250,1204,1533,801.37,0,0,normal
248.6,174,6471023,1827,981,1014.63,1,4,normal
208.68,1616,8914050,1847,710,696.28,0,5,normal
46.73,4418,2905699,2305,2146,1168.26,0,1,normal
201.83,2752,9232777,2419,2067,816.65,0,4,normal
264.14,4135,4843828,2219,711,771.0,1,1,normal
203.2,220,2021994,729,274,724.49,1,0,normal
66.02,4979,1141435,914,1524,666.46,1,3,normal
246.83,4480,1156915,2097,905,828.28,0,3,normal
183.84,3157,9317860,1805,992,1360.95,1,1,normal
179.7,2994,5011227,2079,1104,1068.84,1,0,normal
222.48,1844,9182809,288,2472,578.92,1,3,normal
4.53,721,9013794,1660,1949,710.24,1,0,normal
39.59,4964,8530091,27,602,1174.18,0,1,normal
170.59,3568,7531436,1867,962,1099.72,0,2,normal
136.22,1854,9817282,2433,888,1312.34,0,4,normal
48.63,330,4785206,792,350,1281.13,0,5,normal
81.67,1027,8749666,1038,921,1280.94,0,2,normal
95.68,1650,7645078,1948,884,1111.17,1,3,normal
211.51,1538,5938924,827,1745,1373.76,0,3,normal
272.57,1549,2093976,266,31,1258.84,0,1,normal
54.09,3614,5339866,529,1272,542.21,0,3,normal
229.49,2343,7066249,1007,1639,581.86,1,1,normal
69.37,4660,9439165,1756,565,1498.11,1,5,normal
197.34,581,9486005,262,1535,1372.11,0,5,normal
284.85,2491,7417494,2296,49,909.69,0,4,normal
55.21,3150,4555607,542,179,509.75,0,5,normal
220.97,2783,6119253,2500,1977,1474.61,0,0,normal
110.22,3401,2371941,2356,333,1036.96,1,3,normal
255.21,2449,5415626,1993,114,858.8,1,1,normal
196.61,4690,327492,2114,621,562.55,1,2,normal
51.3,985,7669913,1017,1517,994.55,1,3,normal
72.14,2510,4105584,395,1460,966.3,1,0,normal
26.41,2996,6256660,2046,2431,613.97,1,4,normal
98.34,704,7353812,367,1922,1286.0,1,2,normal
237.84,555,152207,352,1361,546.22,0,3,normal
74.5,2710,5027748,2014,150,1312.98,1,2,normal
35.64,661,2429453,2232,150,832.27,0,4,normal
238.96,4129,5260181,2463,1683,981.18,1,0,normal
157.09,2374,5368464,403,2060,1361.48,0,2,normal
217.04,2206,1998166,1605,504,1026.0,0,2,normal
73.49,3092,2564807,1887,775,1011.9,0,3,normal
197.02,3784,9662330,1228,2158,1006.44,1,3,normal
261.21,1364,2628103,2079,1615,1200.09,0,5,normal
297.9,1401,1531272,284,536,1042.58,1,4,normal
151.25,2260,8104041,1782,1402,858.7,1,3,normal
60.25,704,2290336,721,1323,542.23,1,1,normal
226.2,2669,6434096,922,1234,1281.68,0,5,normal
10.62,2254,718992,750,810,641.63,0,2,normal
10.18,882,836638,161,2469,987.76,1,0,normal
28.68,3706,8026332,1777,929,1055.23,0,5,normal
150.95,2629,2802884,791,1577,1360.68,1,4,normal
211.04,133,8882467,1093,2151,1236.99,1,0,normal
116.34,1525,7249957,2252,685,941.42,1,5,normal
95.76,2666,9352310,1781,2061,585.27,1,4,normal
40.86,2024,9060411,640,1021,746.32,1,5,normal
18.84,361,5736473,1857,528,1203.19,0,4,normal
213.92,3496,6179766,1109,216,1075.58,0,0,normal
90.51,3487,8137104,653,1435,1471.5,0,1,normal
